2024-03-04 16:37:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-04 16:37:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-04 16:37:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-04 16:37:35 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-04 16:37:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709541457334_120.227.131.104_44554
2024-03-04 16:37:36 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Notify connected event to listeners.
2024-03-04 16:37:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-04 16:37:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[9b52b437-9c9a-4d9d-972c-565c8f36a9fd] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$858/655326029
2024-03-04 16:37:38 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-3000"]
2024-03-04 16:37:38 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 3000 (http) with context path ''
