2024-07-11 06:49:42 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-07-11 06:49:42 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 5271 ms
2024-07-11 06:49:44 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-07-11 06:49:44 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-07-11 06:49:49 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-07-11 06:49:51 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-10201"]
2024-07-11 06:49:51 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 10201 (http) with context path ''
2024-07-11 06:49:52 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-07-11 06:49:52 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-07-11 06:49:52 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-07-11 06:49:52 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCollectGroupUsingGET_1
2024-07-11 06:49:52 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCommentUsingGET_1
2024-07-11 06:49:52 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getDanmakuUsingGET_1
2024-07-11 06:49:53 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.video.VideoApplication |Started VideoApplication in 19.874 seconds (JVM running for 23.735)
2024-07-11 06:53:47 |INFO  |http-nio-10201-exec-3 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-11 06:53:47 |INFO  |http-nio-10201-exec-3 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-07-11 06:53:47 |INFO  |http-nio-10201-exec-3 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 5 ms
2024-07-11 06:53:47 |INFO  |http-nio-10201-exec-3 |CollectController.java:75 |ljl.bilibili.video.controller.audience_reactions.collect.CollectController |获取收藏夹列表
2024-07-11 06:53:47 |INFO  |http-nio-10201-exec-3 |CollectController.java:76 |ljl.bilibili.video.controller.audience_reactions.collect.CollectController |0
2024-07-11 06:53:54 |INFO  |http-nio-10201-exec-2 |PlayController.java:49 |ljl.bilibili.video.controller.audience_reactions.play.PlayController |1
2024-07-11 06:53:56 |INFO  |http-nio-10201-exec-4 |PlayController.java:49 |ljl.bilibili.video.controller.audience_reactions.play.PlayController |1
2024-07-11 06:53:54 |INFO  |http-nio-10201-exec-3 |CollectController.java:77 |ljl.bilibili.video.controller.audience_reactions.collect.CollectController |

2024-07-11 06:53:56 |INFO  |http-nio-10201-exec-3 |CollectController.java:78 |ljl.bilibili.video.controller.audience_reactions.collect.CollectController |

2024-07-11 06:53:56 |INFO  |http-nio-10201-exec-3 |CollectController.java:79 |ljl.bilibili.video.controller.audience_reactions.collect.CollectController |

2024-07-11 06:53:56 |INFO  |http-nio-10201-exec-3 |DruidDataSource.java:975 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2024-07-11 06:54:08 |INFO  |Druid-ConnectionPool-Create-1973870438 |DruidAbstractDataSource.java:1846 |com.alibaba.druid.pool.DruidAbstractDataSource |{dataSource-1} failContinuous is true
2024-07-11 06:54:37 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 06:59:37 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:04:38 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:09:38 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:14:38 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:19:40 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:24:42 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:29:46 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:34:48 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:39:51 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:44:53 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:49:56 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 07:54:58 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 08:10:44 |INFO  |Druid-ConnectionPool-Create-1973870438 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-07-11 08:10:53 |INFO  |Thread-23 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-07-11 08:10:56 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2024-07-11 08:10:56 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2136 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
