2024-02-11 01:12:50 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-02-11 01:12:50 |INFO  |main |XxlJobConfig.java:46 |ljl.search.config.XxlJobConfig |>>>>>>>>>>> xxl-job config init.
2024-02-11 01:12:51 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of dd1f745f-e8ca-448f-826b-c163451321f8
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 68 ms to scan 1 urls, producing 3 keys and 6 values 
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 16 ms to scan 1 urls, producing 4 keys and 9 values 
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 14 ms to scan 1 urls, producing 3 keys and 10 values 
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 210 ms to scan 241 urls, producing 0 keys and 0 values 
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 14 ms to scan 1 urls, producing 1 keys and 5 values 
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values 
2024-02-11 01:12:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 11 ms to scan 1 urls, producing 2 keys and 8 values 
2024-02-11 01:12:52 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 166 ms to scan 241 urls, producing 0 keys and 0 values 
2024-02-11 01:12:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[dd1f745f-e8ca-448f-826b-c163451321f8] RpcClient init label, labels = {module=naming, source=sdk}
2024-02-11 01:12:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[dd1f745f-e8ca-448f-826b-c163451321f8] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-02-11 01:12:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[dd1f745f-e8ca-448f-826b-c163451321f8] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-02-11 01:12:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[dd1f745f-e8ca-448f-826b-c163451321f8] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
