2024-03-03 20:58:51 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-30000"]
2024-03-03 20:58:51 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-03 20:58:51 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-03 20:58:51 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-03 20:58:51 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 8056 ms
2024-03-03 20:59:09 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-03 20:59:09 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-03 20:59:13 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-03 20:59:13 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of 19dcfe2e-e693-4460-90ce-236c05997037
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 303 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 19 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 18 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 162 ms to scan 238 urls, producing 0 keys and 0 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 11 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-03 20:59:14 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 182 ms to scan 238 urls, producing 0 keys and 0 values 
2024-03-03 20:59:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-03 20:59:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-03 20:59:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-03 20:59:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-03 20:59:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-03 20:59:43 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709470782505_120.227.131.104_44610
2024-03-03 20:59:43 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Notify connected event to listeners.
2024-03-03 20:59:43 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-03 20:59:43 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[19dcfe2e-e693-4460-90ce-236c05997037] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$983/940605548
2024-03-03 20:59:45 |INFO  |main |DefaultRocketMQListenerContainer.java:281 |org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer |running container: DefaultRocketMQListenerContainer{consumerGroup='chat-group', nameServer='120.55.183.155:9876', topic='chat', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2024-03-03 20:59:45 |INFO  |main |ListenerContainerConfiguration.java:127 |org.apache.rocketmq.spring.autoconfigure.ListenerContainerConfiguration |Register the listener to container, listenerBeanName:chatConsumer, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2024-03-03 20:59:45 |INFO  |main |DefaultRocketMQListenerContainer.java:281 |org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer |running container: DefaultRocketMQListenerContainer{consumerGroup='comment-group', nameServer='120.55.183.155:9876', topic='comment', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
