2024-03-01 02:55:17 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP chat 192.168.0.100:1688 register finished
2024-03-01 02:55:18 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-01 02:55:18 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-01 02:55:18 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-01 02:55:18 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.ChatApplication |Started ChatApplication in 45.149 seconds (JVM running for 54.506)
2024-03-01 02:59:12 |INFO  |http-nio-1688-exec-10 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-01 02:59:12 |INFO  |http-nio-1688-exec-10 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-01 02:59:12 |INFO  |http-nio-1688-exec-10 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 2 ms
2024-03-01 02:59:13 |INFO  |http-nio-1688-exec-10 |WebSocketHandler.java:99 |ljl.chat.handler.WebSocketHandler |连接成功
2024-03-01 02:59:13 |INFO  |http-nio-1688-exec-10 |WebSocketHandler.java:66 |ljl.chat.handler.WebSocketHandler |初始化
2024-03-01 02:59:18 |INFO  |http-nio-1688-exec-8 |BigModelHandler.java:263 |ljl.chat.handler.BigModelHandler |你是？
2024-03-01 02:59:19 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:19 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:19 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:19 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:19 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:19 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:19 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:20 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:20 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:20 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:20 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:20 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:20 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:55 |INFO  |http-nio-1688-exec-9 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-03-01 02:59:55 |INFO  |http-nio-1688-exec-9 |BigModelHandler.java:263 |ljl.chat.handler.BigModelHandler |李白是什么朝代的人
2024-03-01 02:59:57 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:57 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:57 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:57 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:57 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:57 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:57 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:57 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:57 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:58 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:58 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:58 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:58 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:58 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:58 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:58 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:58 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:58 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 02:59:59 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 02:59:59 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 02:59:59 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:00 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:00 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:00 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:00 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:00 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:00 |INFO  |ForkJoinPool.commonPool-worker-0 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:15 |INFO  |http-nio-1688-exec-7 |BigModelHandler.java:263 |ljl.chat.handler.BigModelHandler |我刚刚提的第一个问题和第二个问题是什么
2024-03-01 03:00:15 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:15 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:15 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:15 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:15 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:15 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:15 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:15 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
