2024-02-05 22:11:37 |INFO  |main |SpringApplication.java:645 |ljl.bilibili.video.VideoApplication |No active profile set, falling back to 1 default profile: "default"
2024-02-05 22:11:43 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=e24f4458-6d86-3165-9632-6c82a475ded5
2024-02-05 22:11:45 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 10201 (http)
2024-02-05 22:11:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-10201"]
2024-02-05 22:11:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-02-05 22:11:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-02-05 22:11:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-02-05 22:11:45 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 8061 ms
2024-02-05 22:11:47 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-02-05 22:11:48 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-02-05 22:11:51 |INFO  |main |FeignClientFactoryBean.java:418 |org.springframework.cloud.openfeign.FeignClientFactoryBean |For 'notice' URL not provided. Will try picking an instance via load-balancing.
2024-02-05 22:11:53 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-02-05 22:11:53 |INFO  |main |XxlJobConfig.java:46 |ljl.video.config.XxlJobConfig |>>>>>>>>>>> xxl-job config init.
2024-02-05 22:11:54 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of e6498d69-09d5-45ff-9992-b2dc0c49b1b2
2024-02-05 22:11:54 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 51 ms to scan 1 urls, producing 3 keys and 6 values 
2024-02-05 22:11:54 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 18 ms to scan 1 urls, producing 4 keys and 9 values 
2024-02-05 22:11:54 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 3 keys and 10 values 
2024-02-05 22:11:54 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 305 ms to scan 252 urls, producing 0 keys and 0 values 
2024-02-05 22:11:54 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 36 ms to scan 1 urls, producing 1 keys and 5 values 
2024-02-05 22:11:54 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 96 ms to scan 1 urls, producing 1 keys and 7 values 
2024-02-05 22:11:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 20 ms to scan 1 urls, producing 2 keys and 8 values 
2024-02-05 22:11:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 200 ms to scan 252 urls, producing 0 keys and 0 values 
2024-02-05 22:11:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] RpcClient init label, labels = {module=naming, source=sdk}
2024-02-05 22:11:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-02-05 22:11:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-02-05 22:11:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-02-05 22:11:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-02-05 22:12:00 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1707142320536_120.227.130.72_2690
2024-02-05 22:12:00 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Notify connected event to listeners.
2024-02-05 22:12:00 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-02-05 22:12:00 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e6498d69-09d5-45ff-9992-b2dc0c49b1b2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$874/29401411
